SectionID,StudentCount,Courses
S1_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S2_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S3_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S4_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S5_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S6_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S7_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S8_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S9_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S10_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S11_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S12_L1,20,"LRA401,LRA101,LRA103,PHY113,ECE111,CSC111,MTH111"
S1_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSE214,LRA306"
S2_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSE214,LRA306"
S3_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSE214,LRA306"
S4_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSE214,LRA306"
S5_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSE214,LRA306"
S6_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSE214,LRA306"
S7_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSE214,LRA306"
S8_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSE214,LRA306"
S9_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSE214,LRA306"
S1_AID_L3,20,"AID312,CSE423,CNC311,AID311,CNC314"
S2_AID_L3,20,"AID312,CSE423,CNC311,AID311,CNC314"
S3_AID_L3,20,"AID312,CSE423,CNC311,AID311,CNC314"
S4_AID_L3,20,"AID312,CSE423,CNC311,AID311,CNC314"
S1_CNC_L3,20,"AID312,CSE423,CNC311,CNC312,CNC314"
S2_CNC_L3,20,"AID312,CSE423,CNC311,CNC312,CNC314"
S3_CNC_L3,20,"AID312,CSE423,CNC311,CNC312,CNC314"
S4_CNC_L3,20,"AID312,CSE423,CNC311,CNC312,CNC314"
S1_CSC_L3,20,"AID312,CSE423,CNC311,CSC314,CNC314"
S1_BIF_L3,20,"AID312,CSE423,CNC311,CSC315,CNC314,BIF311"
S1_AID_L4,20,"AID413,AID427,AID428,AID411"
S2_AID_L4,20,"AID413,AID427,AID428,AID411"
S3_AID_L4,20,"AID413,AID427,AID428,AID411"
S4_AID_L4,20,"AID413,AID427,AID428,AID411"
S1_CNC_L4,20,"AID413,AID422,ACM422,AID421"
S2_CNC_L4,20,"AID413,AID422,ACM422,AID421"
S3_CNC_L4,20,"AID413,AID422,ACM422,AID421"
S4_CNC_L4,20,"AID413,AID422,ACM422,AID421"
S1_CSC_L4,20,"AID411,AID421,AID422,AID412"
S1_BIF_L4,20,"AID422,AID416,AID421,AID412"
